BLOCK_TS_30M,PRIORITY_FEE
2023-08-07 13:00:00.000,44647
2023-08-07 13:30:00.000,206749
2023-08-07 14:00:00.000,253608
2023-08-07 14:30:00.000,1150147
2023-08-07 15:00:00.000,190309
2023-08-07 15:30:00.000,162806
2023-08-07 16:00:00.000,677049
2023-08-07 16:30:00.000,405105
2023-08-07 17:00:00.000,1170463
2023-08-07 17:30:00.000,172340
2023-08-07 18:00:00.000,287422
2023-08-07 18:30:00.000,80783
2023-08-07 19:00:00.000,63407
2023-08-07 19:30:00.000,246740
2023-08-07 20:00:00.000,244469
2023-08-07 20:30:00.000,122372
2023-08-07 21:00:00.000,86911
2023-08-07 21:30:00.000,131202
2023-08-07 22:00:00.000,1031225
2023-08-07 22:30:00.000,587490
2023-08-07 23:00:00.000,556093
2023-08-07 23:30:00.000,147056
2023-08-08 00:00:00.000,128906
2023-08-08 00:30:00.000,35128
2023-08-08 01:00:00.000,68653
2023-08-08 01:30:00.000,29962
2023-08-08 02:00:00.000,119914
2023-08-08 02:30:00.000,82454
2023-08-08 03:00:00.000,75363
2023-08-08 03:30:00.000,119658
2023-08-08 04:00:00.000,42021
2023-08-08 04:30:00.000,103604
2023-08-08 05:00:00.000,107426
2023-08-08 05:30:00.000,114862
2023-08-08 06:00:00.000,67890
2023-08-08 06:30:00.000,97551
2023-08-08 07:00:00.000,40909
2023-08-08 07:30:00.000,70702
2023-08-08 08:00:00.000,185975
2023-08-08 08:30:00.000,106682
2023-08-08 09:00:00.000,8535
2023-08-08 09:30:00.000,246026
2023-08-08 10:00:00.000,55645
2023-08-08 10:30:00.000,116498
2023-08-08 11:00:00.000,735903
2023-08-08 11:30:00.000,157092
2023-08-08 12:00:00.000,110167
2023-08-08 12:30:00.000,336857
2023-08-08 13:00:00.000,74567
2023-08-08 13:30:00.000,230611
2023-08-08 14:00:00.000,127847
2023-08-08 14:30:00.000,321375
2023-08-08 15:00:00.000,682659
2023-08-08 15:30:00.000,266951
2023-08-08 16:00:00.000,285117
2023-08-08 16:30:00.000,588511
2023-08-08 17:00:00.000,238776
2023-08-08 17:30:00.000,1146940
2023-08-08 18:00:00.000,310476
2023-08-08 18:30:00.000,464651
2023-08-08 19:00:00.000,843698
2023-08-08 19:30:00.000,191058
2023-08-08 20:00:00.000,11133122
2023-08-08 20:30:00.000,623788
2023-08-08 21:00:00.000,3040555
2023-08-08 21:30:00.000,1052802
2023-08-08 22:00:00.000,814303
2023-08-08 22:30:00.000,104883
2023-08-08 23:00:00.000,188636
2023-08-08 23:30:00.000,58898
2023-08-09 00:00:00.000,220553
2023-08-09 00:30:00.000,166665
2023-08-09 01:00:00.000,294171
2023-08-09 01:30:00.000,114896
2023-08-09 02:00:00.000,143189
2023-08-09 02:30:00.000,115390
2023-08-09 03:00:00.000,60666
